city,2018,2019,2020,2021,2022,2024.0
千代田区,62,58.8,82.1,86.9,90.2,88.1
中央区,61.6,57.7,59.5,68.2,74.3,74.3
港区,39.9,42.9,61.1,69.5,67.5,60.3
新宿区,70,71,69,72,76,79.6
台東区,55.4,60.6,62.2,65.4,69.4,73.2
文京区,65.5,80,76,78.9,79.6,85.2
江東区,68.7,80,83.5,88.9,94.4,86.6
墨田区,69.8,73.2,76.2,76.5,82,83.1
品川区,79.8,77.7,70.5,73.9,71.2,82.3
大田区,70.5,73.9,75.2,78.8,77.3,78.3
目黒区,60,71,75.4,80.9,80,81.8
世田谷区,69.7,67.3,70.5,70.9,73.4,69.9
渋谷区,60.2,61.2,72.1,74.4,73.9,77.1
中野区,58,73.6,70.2,75.1,85.1,81.3
杉並区,73.9,77.1,78.1,78.9,84.7,83.2
豊島区,88,86.7,85.7,88.9,89,98.1
北区,87.4,71.7,83.3,82.7,83.7,89.2
荒川区,81.8,82.3,82.6,82.4,83.4,93.7
板橋区,80.1,81,81,82.4,85.2,83.0
練馬区,78.8,78.5,78.8,78.3,78.2,83.7
足立区,73.1,71.3,79.8,78.6,78.8,79.2
葛飾区,80.4,77.9,84.8,86,85.7,89.6
江戸川区,70.6,75.2,71.8,72.1,78.6,72.2
八王子市,93.9,93.6,92.2,94.1,96,102.5
立川市,77.3,81.2,86.4,80.4,79.9,91.1
武蔵野市,69.3,70,72.6,70.5,70.5,82.8
三鷹市,71.3,79.6,80.6,76.4,81.9,88.3
青梅市,93.3,95.7,96.3,94.4,95.3,106.6
府中市,68.1,69.6,79,75.8,82.2,83.6
昭島市,0,0,62.2,81.6,81.7,58.0
調布市,80.1,70.9,75.3,80,80.8,86.2
小金井市,64.6,67,67.3,66.5,72.9,80.1
町田市,81.8,79.4,72.6,69.9,67.2,86.3
小平市,74.1,71.5,69,71.3,77.9,82.9
国分寺市,67.9,77.1,78.1,74.4,82.4,88.5
日野市,77.6,85.7,84.9,86.2,86.7,95.0
国立市,76.6,81.8,84.6,86.7,79.8,94.1
狛江市,59.5,72.7,78.6,72,71.6,82.0
東大和市,81.7,80.9,81.6,84,86.1,94.2
東久留米市,75.4,78.2,79.2,86,83.5,92.4
多摩市,73.3,70.4,77.6,85.2,81,88.0
稲城市,61.9,75.5,83.7,87.1,72.6,88.5
西東京市,77.4,76.7,79.2,79.1,85,91.8
